chembl_id,drug_name,smiles,max_phase,status_mode,target_genes,pathway_ids,pathway_names,moa_terms,n_target_genes,n_pathways,n_moa_terms
CHEMBL495727,AT-9283,O=C(Nc1c[nH]nc1-c1nc2ccc(CN3CCOCC3)cc2[nH]1)NC1CC1,2.0,Completed,ABL1;FLT3;JAK2,R-HSA-1059683;R-HSA-109704;R-HSA-110056;R-HSA-112411;R-HSA-1170546;R-HSA-1257604;R-HSA-1433557;R-HSA-2029482;R-HSA-2219530;R-HSA-2586552;R-HSA-3214858;R-HSA-428890;R-HSA-512988;R-HSA-525793;R-HSA-5663213;R-HSA-5673000;R-HSA-5673001;R-HSA-5685938;R-HSA-5693565;R-HSA-6785807;R-HSA-6788467;R-HSA-6802946;R-HSA-6802952;R-HSA-6802955;R-HSA-6811558;R-HSA-69231;R-HSA-877300;R-HSA-877312;R-HSA-8854691;R-HSA-8939236;R-HSA-8940973;R-HSA-8984722;R-HSA-9006335;R-HSA-9020591;R-HSA-9020933;R-HSA-9020956;R-HSA-9027276;R-HSA-9027277;R-HSA-9027283;R-HSA-9027284;R-HSA-912526;R-HSA-9607240;R-HSA-9645135;R-HSA-9649948;R-HSA-9656223;R-HSA-9664422;R-HSA-9670439;R-HSA-9674555;R-HSA-9679191;R-HSA-9702509;R-HSA-9702518;R-HSA-9702569;R-HSA-9702577;R-HSA-9702581;R-HSA-9702590;R-HSA-9702596;R-HSA-9702600;R-HSA-9702605;R-HSA-9702614;R-HSA-9702620;R-HSA-9702624;R-HSA-9702632;R-HSA-9702636;R-HSA-9702998;R-HSA-9703009;R-HSA-9703648;R-HSA-9705462;R-HSA-9706369;R-HSA-9706374;R-HSA-9706377;R-HSA-9732724;R-HSA-982772;R-HSA-983231;R-HSA-9841922;R-HSA-9860927,"Constitutive Signaling by Aberrant PI3K in Cance;Constitutive Signaling by Aberrant PI3K in Cancer;Cyclin D associated events in G;Cyclin D associated events in G1;Erythropoietin activates Phosphoinositide-3-kinase (PI3K;Erythropoietin activates Phosphoinositide-3-kinase (PI3K);Erythropoietin activates Phospholipase C gamma (PLCG;Erythropoietin activates Phospholipase C gamma (PLCG);Erythropoietin activates RA;Erythropoietin activates RAS;Erythropoietin activates STAT;Erythropoietin activates STAT5;FCGR3A-mediated phagocytosi;FCGR3A-mediated phagocytosis;FLT3 Signalin;FLT3 Signaling;FLT3 mutants bind TKI;FLT3 mutants bind TKIs;FLT3 signaling by CBL mutant;FLT3 signaling by CBL mutants;FLT3 signaling through SRC family kinase;FLT3 signaling through SRC family kinases;Factors involved in megakaryocyte development and platelet productio;Factors involved in megakaryocyte development and platelet production;Growth hormone receptor signalin;Growth hormone receptor signaling;HDR through Single Strand Annealing (SSA;HDR through Single Strand Annealing (SSA);IFNG signaling activates MAPK;IFNG signaling activates MAPKs;IL-6-type cytokine receptor ligand interaction;IL-6-type cytokine receptor ligand interactions;Inactivation of CSF3 (G-CSF) signalin;Inactivation of CSF3 (G-CSF) signaling;Interferon gamma signalin;Interferon gamma signaling;Interleukin receptor SHC signalin;Interleukin receptor SHC signaling;Interleukin-12 signalin;Interleukin-12 signaling;Interleukin-20 family signalin;Interleukin-20 family signaling;Interleukin-23 signalin;Interleukin-23 signaling;Interleukin-27 signalin;Interleukin-27 signaling;Interleukin-3, Interleukin-5 and GM-CSF signalin;Interleukin-3, Interleukin-5 and GM-CSF signaling;Interleukin-35 Signallin;Interleukin-35 Signalling;Interleukin-4 and Interleukin-13 signalin;Interleukin-4 and Interleukin-13 signaling;Interleukin-6 signalin;Interleukin-6 signaling;KW2449-resistant FLT3 mutant;KW2449-resistant FLT3 mutants;MAPK1 (ERK2) activatio;MAPK1 (ERK2) activation;MAPK3 (ERK1) activatio;MAPK3 (ERK1) activation;MLL4 and MLL3 complexes regulate expression of PPARG target genes in adipogenesis and hepatic steatosi;MLL4 and MLL3 complexes regulate expression of PPARG target genes in adipogenesis and hepatic steatosis;Myogenesi;Myogenesis;Negative regulation of FLT;Negative regulation of FLT3;PI3K Cascad;PI3K Cascade;PI5P, PP2A and IER3 Regulate PI3K/AKT Signalin;PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling;PIP3 activates AKT signalin;PIP3 activates AKT signaling;Paradoxical activation of RAF signaling by kinase inactive BRA;Paradoxical activation of RAF signaling by kinase inactive BRAF;Potential therapeutics for SAR;Potential therapeutics for SARS;Prolactin receptor signalin;Prolactin receptor signaling;RAF activatio;RAF activation;RAF/MAP kinase cascad;RAF/MAP kinase cascade;RHO GTPases Activate WASPs and WAVE;RHO GTPases Activate WASPs and WAVEs;RMTs methylate histone arginine;RMTs methylate histone arginines;RUNX1 regulates transcription of genes involved in differentiation of HSC;RUNX1 regulates transcription of genes involved in differentiation of HSCs;RUNX2 regulates osteoblast differentiatio;RUNX2 regulates osteoblast differentiation;Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand break;Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks;Regulation of IFNG signalin;Regulation of IFNG signaling;Regulation of actin dynamics for phagocytic cup formatio;Regulation of actin dynamics for phagocytic cup formation;Role of ABL in ROBO-SLIT signalin;Role of ABL in ROBO-SLIT signaling;STAT5 Activatio;STAT5 Activation;STAT5 activation downstream of FLT3 ITD mutant;STAT5 activation downstream of FLT3 ITD mutants;Signaling by BRAF and RAF1 fusion;Signaling by BRAF and RAF1 fusions;Signaling by CSF3 (G-CSF;Signaling by CSF3 (G-CSF);Signaling by Erythropoieti;Signaling by Erythropoietin;Signaling by FLT3 ITD and TKD mutant;Signaling by FLT3 ITD and TKD mutants;Signaling by Lepti;Signaling by Leptin;Signaling by RAF1 mutant;Signaling by RAF1 mutants;Signaling by SCF-KI;Signaling by SCF-KIT;Signaling by moderate kinase activity BRAF mutant;Signaling by moderate kinase activity BRAF mutants;Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutant;Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutants;Signaling downstream of RAS mutant;Signaling downstream of RAS mutants;Turbulent (oscillatory, disturbed) flow shear stress activates signaling by PIEZO1 and integrins in endothelial cell;Turbulent (oscillatory, disturbed) flow shear stress activates signaling by PIEZO1 and integrins in endothelial cells;crenolanib-resistant FLT3 mutant;crenolanib-resistant FLT3 mutants;gilteritinib-resistant FLT3 mutant;gilteritinib-resistant FLT3 mutants;lestaurtinib-resistant FLT3 mutant;lestaurtinib-resistant FLT3 mutants;linifanib-resistant FLT3 mutant;linifanib-resistant FLT3 mutants;midostaurin-resistant FLT3 mutant;midostaurin-resistant FLT3 mutants;pexidartinib-resistant FLT3 mutant;pexidartinib-resistant FLT3 mutants;ponatinib-resistant FLT3 mutant;ponatinib-resistant FLT3 mutants;quizartinib-resistant FLT3 mutant;quizartinib-resistant FLT3 mutants;semaxanib-resistant FLT3 mutant;semaxanib-resistant FLT3 mutants;sorafenib-resistant FLT3 mutant;sorafenib-resistant FLT3 mutants;sunitinib-resistant FLT3 mutant;sunitinib-resistant FLT3 mutants;tamatinib-resistant FLT3 mutant;tamatinib-resistant FLT3 mutants;tandutinib-resistant FLT3 mutant;tandutinib-resistant FLT3 mutants",,3,75,0
CHEMBL497,CLIOQUINOL,Oc1c(I)cc(Cl)c2cccnc12,,,,,,Iron chelating agent,0,0,1
CHEMBL498847,SECNIDAZOLE,Cc1ncc([N+](=O)[O-])n1CC(C)O,,,,,,DNA inhibitor,0,0,1
CHEMBL502835,NINTEDANIB,COC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(N(C)C(=O)CN2CCN(C)CC2)cc1)c1ccccc1,3.0,Completed,FLT4;KDR;PDGFRA;PDGFRB,R-HSA-1257604;R-HSA-186763;R-HSA-186797;R-HSA-194306;R-HSA-195399;R-HSA-2028269;R-HSA-216083;R-HSA-2219530;R-HSA-4420097;R-HSA-5218921;R-HSA-5673001;R-HSA-6811558;R-HSA-9013695;R-HSA-9673767;R-HSA-9673768;R-HSA-9673770;R-HSA-9674396;R-HSA-9674401;R-HSA-9674403;R-HSA-9674404;R-HSA-9674428;R-HSA-9856530,"Constitutive Signaling by Aberrant PI3K in Cance;Constitutive Signaling by Aberrant PI3K in Cancer;Downstream signal transductio;Downstream signal transduction;High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cell;High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cells;Imatinib-resistant PDGFR mutant;Imatinib-resistant PDGFR mutants;Integrin cell surface interaction;Integrin cell surface interactions;NOTCH4 Intracellular Domain Regulates Transcriptio;NOTCH4 Intracellular Domain Regulates Transcription;Neurophilin interactions with VEGF and VEGF;Neurophilin interactions with VEGF and VEGFR;PDGFR mutants bind TKI;PDGFR mutants bind TKIs;PI5P, PP2A and IER3 Regulate PI3K/AKT Signalin;PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling;PIP3 activates AKT signalin;PIP3 activates AKT signaling;RAF/MAP kinase cascad;RAF/MAP kinase cascade;Regorafenib-resistant PDGFR mutant;Regorafenib-resistant PDGFR mutants;Signaling by PDG;Signaling by PDGF;Signaling by PDGFRA extracellular domain mutant;Signaling by PDGFRA extracellular domain mutants;Signaling by PDGFRA transmembrane, juxtamembrane and kinase domain mutant;Signaling by PDGFRA transmembrane, juxtamembrane and kinase domain mutants;Signaling by membrane-tethered fusions of PDGFRA or PDGFR;Signaling by membrane-tethered fusions of PDGFRA or PDGFRB;Sorafenib-resistant PDGFR mutant;Sorafenib-resistant PDGFR mutants;Sunitinib-resistant PDGFR mutant;Sunitinib-resistant PDGFR mutants;VEGF binds to VEGFR leading to receptor dimerizatio;VEGF binds to VEGFR leading to receptor dimerization;VEGFA-VEGFR2 Pathwa;VEGFA-VEGFR2 Pathway;VEGFR2 mediated cell proliferatio;VEGFR2 mediated cell proliferation",,4,22,0
CHEMBL50882,TIRAPAZAMINE,Nc1n[n+]([O-])c2ccccc2[n+]1[O-],,,,,,DNA disrupting agent,0,0,1
CHEMBL5095033,IBCASERTIB,COc1ccc2c(Oc3ccc4c(C(=O)Nc5ccccc5N)cccc4c3)ccnc2c1,3.0,Recruiting,FLT4;KDR,R-HSA-194306;R-HSA-195399;R-HSA-216083;R-HSA-4420097;R-HSA-5218921;R-HSA-9013695;R-HSA-9673768;R-HSA-9856530,High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cell;High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cells;Integrin cell surface interaction;Integrin cell surface interactions;NOTCH4 Intracellular Domain Regulates Transcriptio;NOTCH4 Intracellular Domain Regulates Transcription;Neurophilin interactions with VEGF and VEGF;Neurophilin interactions with VEGF and VEGFR;Signaling by membrane-tethered fusions of PDGFRA or PDGFR;Signaling by membrane-tethered fusions of PDGFRA or PDGFRB;VEGF binds to VEGFR leading to receptor dimerizatio;VEGF binds to VEGFR leading to receptor dimerization;VEGFA-VEGFR2 Pathwa;VEGFA-VEGFR2 Pathway;VEGFR2 mediated cell proliferatio;VEGFR2 mediated cell proliferation,Vascular endothelial growth factor receptor inhibitor,2,8,1
CHEMBL5095034,SOVLEPLENIB,CS(=O)(=O)N1CCC(c2ccc(-c3ncc4nccnc4c3NC[C@@H]3CNCCO3)cc2)CC1,,,,,,Tyrosine-protein kinase SYK inhibitor,0,0,1
CHEMBL5095049,PACRITINIB CITRATE,C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2cccc(c2)COC/1.O=C(O)CC(O)(CC(=O)O)C(=O)O,4.0,,FLT3;JAK2,R-HSA-1059683;R-HSA-109704;R-HSA-110056;R-HSA-112411;R-HSA-1170546;R-HSA-1257604;R-HSA-1433557;R-HSA-2219530;R-HSA-2586552;R-HSA-3214858;R-HSA-512988;R-HSA-5673000;R-HSA-5673001;R-HSA-6785807;R-HSA-6788467;R-HSA-6802946;R-HSA-6802952;R-HSA-6802955;R-HSA-6811558;R-HSA-69231;R-HSA-877300;R-HSA-877312;R-HSA-8854691;R-HSA-8984722;R-HSA-9006335;R-HSA-9020591;R-HSA-9020933;R-HSA-9020956;R-HSA-9027276;R-HSA-9027277;R-HSA-9027283;R-HSA-9027284;R-HSA-912526;R-HSA-9607240;R-HSA-9645135;R-HSA-9649948;R-HSA-9656223;R-HSA-9670439;R-HSA-9674555;R-HSA-9679191;R-HSA-9702509;R-HSA-9702518;R-HSA-9702569;R-HSA-9702577;R-HSA-9702581;R-HSA-9702590;R-HSA-9702596;R-HSA-9702600;R-HSA-9702605;R-HSA-9702614;R-HSA-9702620;R-HSA-9702624;R-HSA-9702632;R-HSA-9702636;R-HSA-9702998;R-HSA-9703009;R-HSA-9703648;R-HSA-9705462;R-HSA-9706369;R-HSA-9706374;R-HSA-9706377;R-HSA-9732724;R-HSA-982772;R-HSA-983231,"Constitutive Signaling by Aberrant PI3K in Cance;Constitutive Signaling by Aberrant PI3K in Cancer;Cyclin D associated events in G;Cyclin D associated events in G1;Erythropoietin activates Phosphoinositide-3-kinase (PI3K;Erythropoietin activates Phosphoinositide-3-kinase (PI3K);Erythropoietin activates Phospholipase C gamma (PLCG;Erythropoietin activates Phospholipase C gamma (PLCG);Erythropoietin activates RA;Erythropoietin activates RAS;Erythropoietin activates STAT;Erythropoietin activates STAT5;FLT3 Signalin;FLT3 Signaling;FLT3 mutants bind TKI;FLT3 mutants bind TKIs;FLT3 signaling by CBL mutant;FLT3 signaling by CBL mutants;FLT3 signaling through SRC family kinase;FLT3 signaling through SRC family kinases;Factors involved in megakaryocyte development and platelet productio;Factors involved in megakaryocyte development and platelet production;Growth hormone receptor signalin;Growth hormone receptor signaling;IFNG signaling activates MAPK;IFNG signaling activates MAPKs;IL-6-type cytokine receptor ligand interaction;IL-6-type cytokine receptor ligand interactions;Inactivation of CSF3 (G-CSF) signalin;Inactivation of CSF3 (G-CSF) signaling;Interferon gamma signalin;Interferon gamma signaling;Interleukin receptor SHC signalin;Interleukin receptor SHC signaling;Interleukin-12 signalin;Interleukin-12 signaling;Interleukin-20 family signalin;Interleukin-20 family signaling;Interleukin-23 signalin;Interleukin-23 signaling;Interleukin-27 signalin;Interleukin-27 signaling;Interleukin-3, Interleukin-5 and GM-CSF signalin;Interleukin-3, Interleukin-5 and GM-CSF signaling;Interleukin-35 Signallin;Interleukin-35 Signalling;Interleukin-4 and Interleukin-13 signalin;Interleukin-4 and Interleukin-13 signaling;Interleukin-6 signalin;Interleukin-6 signaling;KW2449-resistant FLT3 mutant;KW2449-resistant FLT3 mutants;MAPK1 (ERK2) activatio;MAPK1 (ERK2) activation;MAPK3 (ERK1) activatio;MAPK3 (ERK1) activation;Negative regulation of FLT;Negative regulation of FLT3;PI3K Cascad;PI3K Cascade;PI5P, PP2A and IER3 Regulate PI3K/AKT Signalin;PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling;PIP3 activates AKT signalin;PIP3 activates AKT signaling;Paradoxical activation of RAF signaling by kinase inactive BRA;Paradoxical activation of RAF signaling by kinase inactive BRAF;Potential therapeutics for SAR;Potential therapeutics for SARS;Prolactin receptor signalin;Prolactin receptor signaling;RAF activatio;RAF activation;RAF/MAP kinase cascad;RAF/MAP kinase cascade;RMTs methylate histone arginine;RMTs methylate histone arginines;Regulation of IFNG signalin;Regulation of IFNG signaling;STAT5 Activatio;STAT5 Activation;STAT5 activation downstream of FLT3 ITD mutant;STAT5 activation downstream of FLT3 ITD mutants;Signaling by BRAF and RAF1 fusion;Signaling by BRAF and RAF1 fusions;Signaling by CSF3 (G-CSF;Signaling by CSF3 (G-CSF);Signaling by Erythropoieti;Signaling by Erythropoietin;Signaling by FLT3 ITD and TKD mutant;Signaling by FLT3 ITD and TKD mutants;Signaling by Lepti;Signaling by Leptin;Signaling by RAF1 mutant;Signaling by RAF1 mutants;Signaling by SCF-KI;Signaling by SCF-KIT;Signaling by moderate kinase activity BRAF mutant;Signaling by moderate kinase activity BRAF mutants;Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutant;Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutants;Signaling downstream of RAS mutant;Signaling downstream of RAS mutants;crenolanib-resistant FLT3 mutant;crenolanib-resistant FLT3 mutants;gilteritinib-resistant FLT3 mutant;gilteritinib-resistant FLT3 mutants;lestaurtinib-resistant FLT3 mutant;lestaurtinib-resistant FLT3 mutants;linifanib-resistant FLT3 mutant;linifanib-resistant FLT3 mutants;midostaurin-resistant FLT3 mutant;midostaurin-resistant FLT3 mutants;pexidartinib-resistant FLT3 mutant;pexidartinib-resistant FLT3 mutants;ponatinib-resistant FLT3 mutant;ponatinib-resistant FLT3 mutants;quizartinib-resistant FLT3 mutant;quizartinib-resistant FLT3 mutants;semaxanib-resistant FLT3 mutant;semaxanib-resistant FLT3 mutants;sorafenib-resistant FLT3 mutant;sorafenib-resistant FLT3 mutants;sunitinib-resistant FLT3 mutant;sunitinib-resistant FLT3 mutants;tamatinib-resistant FLT3 mutant;tamatinib-resistant FLT3 mutants;tandutinib-resistant FLT3 mutant;tandutinib-resistant FLT3 mutants",Tyrosine-protein kinase receptor FLT3 inhibitor,2,64,1
CHEMBL513,CARMUSTINE,O=NN(CCCl)C(=O)NCCCl,,,,,,DNA inhibitor | RNA inhibitor,0,0,1
CHEMBL514,LOMUSTINE,O=NN(CCCl)C(=O)NC1CCCCC1,,,,,,DNA inhibitor,0,0,1
CHEMBL515,CHLORAMBUCIL,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,,,,,,DNA inhibitor,0,0,1
CHEMBL522892,DOVITINIB,CN1CCN(c2ccc3nc(-c4c(N)c5c(F)cccc5[nH]c4=O)[nH]c3c2)CC1,3.0,Completed,FLT3;FLT4;KDR;KIT;PDGFRA;PDGFRB,R-HSA-109704;R-HSA-1257604;R-HSA-1433557;R-HSA-1433559;R-HSA-186763;R-HSA-186797;R-HSA-194306;R-HSA-195399;R-HSA-2028269;R-HSA-216083;R-HSA-2219530;R-HSA-4420097;R-HSA-5218921;R-HSA-5673001;R-HSA-6811558;R-HSA-8866910;R-HSA-9013695;R-HSA-9607240;R-HSA-9645135;R-HSA-9669914;R-HSA-9669917;R-HSA-9669921;R-HSA-9669924;R-HSA-9669926;R-HSA-9669929;R-HSA-9669933;R-HSA-9669934;R-HSA-9669935;R-HSA-9669936;R-HSA-9670439;R-HSA-9673767;R-HSA-9673768;R-HSA-9673770;R-HSA-9674396;R-HSA-9674401;R-HSA-9674403;R-HSA-9674404;R-HSA-9674428;R-HSA-9680187;R-HSA-9702509;R-HSA-9702518;R-HSA-9702569;R-HSA-9702577;R-HSA-9702581;R-HSA-9702590;R-HSA-9702596;R-HSA-9702600;R-HSA-9702605;R-HSA-9702614;R-HSA-9702620;R-HSA-9702624;R-HSA-9702632;R-HSA-9702636;R-HSA-9702998;R-HSA-9703009;R-HSA-9703648;R-HSA-9706369;R-HSA-9706374;R-HSA-9706377;R-HSA-9856530;R-HSA-9856649,"Constitutive Signaling by Aberrant PI3K in Cance;Constitutive Signaling by Aberrant PI3K in Cancer;Dasatinib-resistant KIT mutant;Dasatinib-resistant KIT mutants;Downstream signal transductio;Downstream signal transduction;FLT3 Signalin;FLT3 Signaling;FLT3 mutants bind TKI;FLT3 mutants bind TKIs;FLT3 signaling by CBL mutant;FLT3 signaling by CBL mutants;FLT3 signaling through SRC family kinase;FLT3 signaling through SRC family kinases;High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cell;High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cells;Imatinib-resistant KIT mutant;Imatinib-resistant KIT mutants;Imatinib-resistant PDGFR mutant;Imatinib-resistant PDGFR mutants;Integrin cell surface interaction;Integrin cell surface interactions;KIT mutants bind TKI;KIT mutants bind TKIs;KW2449-resistant FLT3 mutant;KW2449-resistant FLT3 mutants;Masitinib-resistant KIT mutant;Masitinib-resistant KIT mutants;NOTCH4 Intracellular Domain Regulates Transcriptio;NOTCH4 Intracellular Domain Regulates Transcription;Negative regulation of FLT;Negative regulation of FLT3;Neurophilin interactions with VEGF and VEGF;Neurophilin interactions with VEGF and VEGFR;Nilotinib-resistant KIT mutant;Nilotinib-resistant KIT mutants;PDGFR mutants bind TKI;PDGFR mutants bind TKIs;PI3K Cascad;PI3K Cascade;PI5P, PP2A and IER3 Regulate PI3K/AKT Signalin;PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling;PIP3 activates AKT signalin;PIP3 activates AKT signaling;RAF/MAP kinase cascad;RAF/MAP kinase cascade;Regorafenib-resistant KIT mutant;Regorafenib-resistant KIT mutants;Regorafenib-resistant PDGFR mutant;Regorafenib-resistant PDGFR mutants;Regulation of KIT signalin;Regulation of KIT signaling;STAT5 Activatio;STAT5 Activation;STAT5 activation downstream of FLT3 ITD mutant;STAT5 activation downstream of FLT3 ITD mutants;Signaling by FLT3 ITD and TKD mutant;Signaling by FLT3 ITD and TKD mutants;Signaling by PDG;Signaling by PDGF;Signaling by PDGFRA extracellular domain mutant;Signaling by PDGFRA extracellular domain mutants;Signaling by PDGFRA transmembrane, juxtamembrane and kinase domain mutant;Signaling by PDGFRA transmembrane, juxtamembrane and kinase domain mutants;Signaling by SCF-KI;Signaling by SCF-KIT;Signaling by extracellular domain mutants of KI;Signaling by extracellular domain mutants of KIT;Signaling by juxtamembrane domain KIT mutant;Signaling by juxtamembrane domain KIT mutants;Signaling by kinase domain mutants of KI;Signaling by kinase domain mutants of KIT;Signaling by membrane-tethered fusions of PDGFRA or PDGFR;Signaling by membrane-tethered fusions of PDGFRA or PDGFRB;Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutant;Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutants;Sorafenib-resistant KIT mutant;Sorafenib-resistant KIT mutants;Sorafenib-resistant PDGFR mutant;Sorafenib-resistant PDGFR mutants;Sunitinib-resistant KIT mutant;Sunitinib-resistant KIT mutants;Sunitinib-resistant PDGFR mutant;Sunitinib-resistant PDGFR mutants;TFAP2 (AP-2) family regulates transcription of growth factors and their receptor;TFAP2 (AP-2) family regulates transcription of growth factors and their receptors;Transcriptional and post-translational regulation of MITF-M expression and activit;Transcriptional and post-translational regulation of MITF-M expression and activity;VEGF binds to VEGFR leading to receptor dimerizatio;VEGF binds to VEGFR leading to receptor dimerization;VEGFA-VEGFR2 Pathwa;VEGFA-VEGFR2 Pathway;VEGFR2 mediated cell proliferatio;VEGFR2 mediated cell proliferation;crenolanib-resistant FLT3 mutant;crenolanib-resistant FLT3 mutants;gilteritinib-resistant FLT3 mutant;gilteritinib-resistant FLT3 mutants;lestaurtinib-resistant FLT3 mutant;lestaurtinib-resistant FLT3 mutants;linifanib-resistant FLT3 mutant;linifanib-resistant FLT3 mutants;midostaurin-resistant FLT3 mutant;midostaurin-resistant FLT3 mutants;pexidartinib-resistant FLT3 mutant;pexidartinib-resistant FLT3 mutants;ponatinib-resistant FLT3 mutant;ponatinib-resistant FLT3 mutants;quizartinib-resistant FLT3 mutant;quizartinib-resistant FLT3 mutants;semaxanib-resistant FLT3 mutant;semaxanib-resistant FLT3 mutants;sorafenib-resistant FLT3 mutant;sorafenib-resistant FLT3 mutants;sunitinib-resistant FLT3 mutant;sunitinib-resistant FLT3 mutants;tamatinib-resistant FLT3 mutant;tamatinib-resistant FLT3 mutants;tandutinib-resistant FLT3 mutant;tandutinib-resistant FLT3 mutants",Platelet-derived growth factor receptor inhibitor | Stem cell growth factor receptor inhibitor | Tyrosine-protein kinase receptor FLT3 inhibitor | Vascular endothelial growth factor receptor inhibitor,6,61,1
